card_slug,name,brand_name,reset_cycle,default_value,default_quantity,unit_name,notes
amex-platinum,Uber Credit,Uber,monthly,15,,,Up to $15/month in Uber Cash ($35 in Dec)
amex-platinum,Airline Fee Credit,,annual,200,,,Incidental airline fees on selected airline
amex-platinum,Saks Credit,Saks Fifth Avenue,semiannual,50,,,Up to $50 semiannually ($100/year)
amex-platinum,CLEAR Plus Credit,CLEAR,annual,189,,,CLEAR Plus membership
amex-platinum,Digital Entertainment Credit,,monthly,20,,,Disney+/Hulu/ESPN+/NYT/Peacock/Audible
amex-platinum,Equinox Credit,Equinox,monthly,25,,,Equinox+ or Equinox membership credit
amex-platinum,Hotel Credit,,annual,200,,,Fine Hotels + Resorts or The Hotel Collection
amex-platinum,Walmart+ Credit,Walmart,monthly,12.95,,,Walmart+ membership monthly credit
amex-platinum,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck every 4.5 years
amex-platinum,Centurion Lounge Access,,annual,,4,guest pass,Unlimited cardholder + 2 guests (or paid)
amex-schwab-platinum,Uber Credit,Uber,monthly,15,,,Up to $15/month in Uber Cash ($35 in Dec)
amex-schwab-platinum,Airline Fee Credit,,annual,200,,,Incidental airline fees on selected airline
amex-schwab-platinum,Saks Credit,Saks Fifth Avenue,semiannual,50,,,Up to $50 semiannually ($100/year)
amex-schwab-platinum,CLEAR Plus Credit,CLEAR,annual,189,,,CLEAR Plus membership
amex-schwab-platinum,Digital Entertainment Credit,,monthly,20,,,Disney+/Hulu/ESPN+/NYT/Peacock/Audible
amex-schwab-platinum,Equinox Credit,Equinox,monthly,25,,,Equinox+ or Equinox membership credit
amex-schwab-platinum,Hotel Credit,,annual,200,,,Fine Hotels + Resorts or The Hotel Collection
amex-schwab-platinum,Walmart+ Credit,Walmart,monthly,12.95,,,Walmart+ membership monthly credit
amex-schwab-platinum,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck every 4.5 years
amex-gold,Uber Credit,Uber,monthly,10,,,Up to $10/month in Uber Cash ($20 in Dec)
amex-gold,Dining Credit,,monthly,10,,,Grubhub/Seamless/Goldbelly/Wine.com/Milk Bar/Caviar
amex-gold,Dunkin Credit,Dunkin,monthly,7,,,Up to $7/month at Dunkin
amex-green,CLEAR Plus Credit,CLEAR,annual,189,,,CLEAR Plus membership
amex-green,LoungeBuddy Credit,,annual,100,,,Airport lounge access via LoungeBuddy app
chase-sapphire-reserve,Travel Credit,,cardmember_year,300,,,Any travel purchase via Chase portal or statement
chase-sapphire-reserve,DoorDash DashPass,DoorDash,annual,60,,,Complimentary DashPass membership for 2 years
chase-sapphire-reserve,Lyft Pink,Lyft,annual,60,,,Lyft Pink All Access membership
chase-sapphire-reserve,Instacart+,Instacart,annual,60,,,Instacart+ membership
chase-sapphire-reserve,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-sapphire-reserve,Priority Pass Lounge,,annual,,2,guest,Unlimited visits + guests
chase-sapphire-reserve-business,Travel Credit,,cardmember_year,300,,,Any travel purchase
chase-sapphire-reserve-business,Priority Pass Lounge,,annual,,2,guest,Unlimited visits + guests
chase-sapphire-reserve-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
chase-sapphire-preferred,Hotel Credit,,cardmember_year,50,,,Hotels via Chase Travel (anniversary)
capital-one-venture-x,Travel Credit,,cardmember_year,300,,,Travel via Capital One Travel portal
capital-one-venture-x,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
capital-one-venture-x,Capital One Lounge Access,,annual,,2,guest,Unlimited visits + guests at CO Lounges
capital-one-venture-x,Priority Pass Lounge,,annual,,2,guest,Unlimited visits
capital-one-venture-x-business,Travel Credit,,cardmember_year,300,,,Travel via Capital One Travel portal
capital-one-venture-x-business,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
capital-one-venture-x-business,Capital One Lounge Access,,annual,,2,guest,Unlimited visits + guests
citi-strata-elite,Hotel Credit,,cardmember_year,200,,,Hotels via Citi Travel portal
citi-strata-elite,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
citi-strata-elite,Priority Pass Lounge,,annual,,4,guest,Unlimited visits + guests
citi-aa-executive,Admirals Club,,annual,,8,guest,Unlimited Admirals Club access + guests
citi-aa-executive,Global Entry/TSA Credit,,cardmember_year,100,,,Global Entry or TSA PreCheck
amex-hilton-aspire,Hilton Resort Credit,Hilton,annual,200,,,Hilton resort purchases
amex-hilton-aspire,Airline Credit,,annual,250,,,Airline incidental fees on selected airline
amex-hilton-aspire,Free Night Award,Hilton,annual,,1,free night,Annual free night certificate
amex-hilton-aspire,Diamond Status,Hilton,annual,,1,status,Hilton Diamond status
amex-hilton-aspire,Priority Pass Lounge,,annual,,2,guest,Unlimited visits + guests
amex-hilton-surpass,Free Night Award,Hilton,annual,,1,free night,Annual free night certificate (after $15k spend)
amex-hilton-business,Free Night Award,Hilton,annual,,1,free night,Weekend free night after $15k spend
amex-bonvoy-brilliant,Marriott Credit,Marriott,monthly,25,,,Up to $25/month on dining at Marriott ($300/year)
amex-bonvoy-brilliant,Free Night Award,Marriott,annual,,1,free night,Up to 85K points value (after $60k spend 2nd)
amex-bonvoy-brilliant,Platinum Elite Status,Marriott,annual,,1,status,Marriott Platinum Elite status
amex-bonvoy-business,Free Night Award,Marriott,annual,,1,free night,Up to 35K points value
amex-bonvoy-bevy,Free Night Award,Marriott,annual,,1,free night,Up to 50K points value
chase-bonvoy-boundless,Free Night Award,Marriott,annual,,1,free night,Up to 35K points value
chase-bonvoy-bountiful,Free Night Award,Marriott,annual,,1,free night,Up to 50K points value
chase-ihg-premier,Free Night Award,IHG,annual,,1,free night,Up to 40K points value
chase-ihg-premier-business,Free Night Award,IHG,annual,,1,free night,Up to 40K points value
chase-hyatt-personal,Free Night Award,Hyatt,annual,,1,free night,Category 1-4 properties
chase-hyatt-personal,Discoverist Status,Hyatt,annual,,1,status,World of Hyatt Discoverist status
